title,year,theme,broad_era,region,country,city,notable_location
The fall of Constantinople to the Ottoman Empire,1453,wars & battles,5. Middle Ages,Europe,Turkey,Istanbul,Hagia Sophia
"The meeting of Roosevelt, Churchill, and Stalin at the Yalta Conference",1945,diplomacy & international relations,7. Industrial Age,Europe,Soviet Union,Yalta,Livadia Palace
Tiananmen Square Protests,1989,foundational political moments,8. 20th Century,Asia,China,Beijin,Tiananmen Square
Assassination of Julius Caesar,-44,wars & battles,4. Ancient World,Europe,Italy,Rome,Curia of Pompei
The Battle of Cannae,-216,wars & battles,4. Ancient World,Europe,Italy,,Cannae
The founding of the Red Cross by Henri Dunant,1863,diplomacy & international relations,7. Industrial Age,Europe,Switzerland,Geneva,Geneva
The Berlin Airlift begins as a response to the Soviet blockade,1948,diplomacy & international relations,8. 20th Century,Europe,Germany,Berlin,Tempelhof Airport
The Opening of Abbey Road Studios to the Public,1983,art & culture,8. 20th Century,Europe,United Kingdom,London,Abbey Road Studios
The trial of Galileo Galilei before the Inquisition,1633,law & justice,6. Early Modern Era,Europe,Italy,Rome,Holy Office
The trial and execution of Joan of Arc,1431,law & justice,5. Middle Ages,Europe,France,Rouen,Rouen Castle
The abdication of Tsar Nicholas II and end of the Russian Empire,1917,foundational political moments,7. Industrial Age,Europe,Russia,Petrograd,Winter Palace
The eruption of Eyjafjallajökull disrupting European air travel,2010,natural disasters,9. 21st Century,Europe,Iceland,,Eyjafjallajökull volcano
The liberation of Auschwitz by Soviet troops,1945,wars & battles,7. Industrial Age,Europe,Poland,,Auschwitz concentration camp
The 1986 Chernobyl nuclear disaster and initial evacuation,1986,scientific & technological breakthroughs,8. 20th Century,Europe,Soviet Union,Pripyat,Chernobyl Nuclear Power Plant
The 2015 Paris Agreement is signed at COP21,2015,diplomacy & international relations,9. 21st Century,Europe,France,Paris,Le Bourget
The 1972 Nixon visit to China marking a shift in Cold War diplomacy,1972,diplomacy & international relations,8. 20th Century,Asia,China,Beijing,Great Hall of the People
The Battle of the Somme,1916,wars & battles,7. Industrial Age,Europe,France,,Somme River
The Construction of Göbekli Tepe in Anatolia,-9500,architecture & engineering,3. Late Prehistory,Asia,Turkey,,Göbekli Tepe
